City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bambous Virieux,75,MU,1567229505,60,-20.34,57.76,77.0,18.34
Puerto Ayora,27,EC,1567229506,94,-0.74,-90.35,70.0,1.99
Cape Town,75,ZA,1567229506,87,-33.93,18.42,51.01,5.82
Cherskiy,97,RU,1567229506,71,68.75,161.3,39.11,7.34
Tiksi,19,RU,1567229291,61,71.64,128.87,41.45,7.05
Kavieng,99,PG,1567229507,71,-2.57,150.8,84.11,5.95
Bluff,1,AU,1567229507,26,-23.58,149.07,77.81,8.84
Kaeo,11,NZ,1567229507,60,-35.1,173.78,60.01,7.0
Victoria,75,BN,1567229387,49,5.28,115.24,93.2,6.93
Hilo,90,US,1567229508,83,19.71,-155.08,78.8,5.82
Rotterdam,0,NL,1567229508,93,51.92,4.46,62.01,1.12
Upernavik,87,GL,1567229447,55,72.79,-56.15,44.69,14.94
Pacific Grove,90,US,1567229509,77,36.62,-121.92,66.99,8.05
Arraial do Cabo,0,BR,1567229360,83,-22.97,-42.02,66.11,9.66
Punta Arenas,75,CL,1567229509,93,-53.16,-70.91,35.6,20.8
Barrow,26,AR,1567229510,61,-38.31,-60.23,40.37,6.06
Maceio,40,BR,1567229510,94,-9.67,-35.74,69.8,2.24
Kodiak,1,US,1567229510,87,39.95,-94.76,64.0,6.93
Taoudenni,0,ML,1567229511,38,22.68,-3.98,91.13,3.42
Hermanus,29,ZA,1567229511,80,-34.42,19.24,52.0,3.0
Biograd na Moru,0,HR,1567229511,47,43.94,15.45,78.8,6.93
Flinders,90,AU,1567229511,63,-34.58,150.85,64.99,8.05
Leningradskiy,100,RU,1567229512,95,69.38,178.42,41.45,9.04
Menongue,0,AO,1567229512,19,-14.66,17.68,59.81,4.32
Ushuaia,75,AR,1567229512,74,-54.81,-68.31,37.4,11.41
Norman Wells,90,CA,1567229513,100,65.28,-126.83,42.8,0.51
Mataura,57,NZ,1567229513,85,-46.19,168.86,52.0,14.0
Longyearbyen,75,NO,1567229513,93,78.22,15.63,44.6,3.36
Sumenep,84,ID,1567229514,37,-7.02,113.87,90.59,14.0
Anadyr,75,RU,1567229514,71,64.73,177.51,53.6,11.18
Nikolskoye,40,RU,1567229514,88,59.7,30.79,66.0,11.18
Vaini,75,IN,1567229515,69,15.34,74.49,77.0,9.17
Tautira,75,PF,1567229515,74,-17.73,-149.15,80.6,10.29
Namibe,10,AO,1567229515,77,-15.19,12.15,63.95,10.02
Isangel,90,VU,1567229516,78,-19.55,169.27,77.0,11.41
Busselton,40,AU,1567229516,37,-33.64,115.35,64.99,19.91
Coos Bay,1,US,1567229516,93,43.37,-124.22,62.01,3.36
Chinchani,75,IN,1567229516,69,16.42,74.53,77.0,9.17
Tuktoyaktuk,75,CA,1567229517,93,69.44,-133.03,35.6,3.36
Lorengau,90,PG,1567229517,80,-2.02,147.27,82.31,8.46
Riyadh,0,SA,1567229517,13,24.63,46.72,95.0,5.82
Rikitea,72,PF,1567229518,76,-23.12,-134.97,72.23,20.31
Jamestown,0,AU,1567229357,41,-33.21,138.6,66.47,13.89
Muros,75,ES,1567229518,100,42.77,-9.06,64.99,1.12
Sakaiminato,75,JP,1567229519,48,35.55,133.23,86.0,16.11
Chokurdakh,100,RU,1567229519,58,70.62,147.9,38.57,4.05
Portland,1,US,1567229886,72,43.66,-70.25,64.4,5.82
Butaritari,52,KI,1567229959,61,3.07,172.79,84.47,10.18
Fairbanks,1,US,1567229959,67,64.84,-147.72,59.0,4.32
Sitka,85,US,1567229959,90,37.17,-99.65,68.0,18.01
Nabire,34,ID,1567229960,61,-3.36,135.5,81.41,6.62
Lebu,11,ET,1567229960,78,8.96,38.73,61.25,4.12
Avera,1,US,1567229960,100,33.19,-82.53,73.4,4.27
Oksfjord,75,NO,1567229961,93,70.24,22.35,53.6,6.93
Kuytun,99,RU,1567229961,57,54.34,101.51,75.83,3.56
Vila Franca do Campo,20,PT,1567229961,100,37.72,-25.43,71.6,5.82
Vanimo,13,PG,1567229962,73,-2.67,141.3,83.39,8.63
Mehamn,100,NO,1567229962,91,71.03,27.85,53.69,6.62
Sao Filipe,88,CV,1567229962,80,14.9,-24.5,78.35,10.89
Lagoa,0,PT,1567229963,47,37.14,-8.45,75.2,5.82
Saint-Philippe,75,CA,1567229963,59,45.36,-73.48,66.2,8.05
Paraiso,75,BR,1567229963,100,-0.03,-51.17,82.4,11.41
Vestmannaeyjar,62,IS,1567229964,73,63.44,-20.27,48.65,14.58
Majene,99,ID,1567229964,69,-3.54,118.97,81.05,11.45
Lokoja,74,NG,1567229964,95,7.8,6.74,72.77,3.06
Corowa,0,AU,1567229965,44,-36.0,146.39,63.0,5.82
Khatanga,26,RU,1567229965,38,71.98,102.47,55.49,6.31
Albany,75,US,1567229744,72,42.65,-73.75,62.6,4.63
Wagar,0,US,1567229966,88,31.44,-87.99,73.0,4.54
Vardo,1,US,1567229966,94,39.62,-77.74,71.01,3.94
Port Hardy,75,CA,1567229966,93,50.7,-127.42,57.2,6.22
North Platte,90,US,1567229967,88,41.12,-100.77,68.0,6.93
Saint-Dizier,0,FR,1567229967,76,48.64,4.95,57.2,3.36
Mana,70,NG,1567229968,76,13.03,5.27,77.63,3.96
Tiarei,75,PF,1567229968,74,-17.53,-149.33,80.6,10.29
Saldanha,0,PT,1567229968,47,41.42,-6.55,66.29,0.96
